Setting Name,Setting mitigation at w/c 04/09/2023,Setting Phase,Type of Setting,Setting Website,URN,LAESTAB
Myatt Garden Primary School,All pupils in face-to-face education,Primary,Community school,http://www.myattgarden.lewisham.sch.uk/,100713,2092869
Seven Mills Primary School,All pupils in face-to-face education,Primary,Community school,www.sevenmills.towerhamlets.sch.uk/,100931,2112857
The Ellen Wilkinson School for Girls,All pupils in face-to-face education,Secondary,Foundation school,http://www.ellenwilkinson.ealing.sch.uk,101941,3075402
St Ignatius College,All pupils in face-to-face education,Secondary,Voluntary aided school,http://www.st-ignatius.enfield.sch.uk,102058,3085403
Welbourne Primary School,All pupils in face-to-face education,Primary,Community school,www.welbourne.haringey.sch.uk/,102124,3092062
St John Vianney RC Primary School,All pupils in face-to-face education,Primary,Voluntary aided school,www.st-johnvianney.haringey.sch.uk,102152,3093510
Hornsey School for Girls,Start of Term Delayed,Secondary,Community school,http://www.hsg.haringey.sch.uk/,102153,3094029
Brandhall Primary School,All pupils in face-to-face education,Primary,Community school,www.brandhall.sandwell.sch.uk/,103976,3332171
St William of York Catholic Primary School,Start of Term Delayed,Primary,Voluntary aided school,www.st-williams.bolton.sch.uk,105226,3503331
"St Andrew's CofE Primary School, Over Hulton",All pupils in face-to-face education,Primary,Voluntary aided school,www.standrewsbolton.co.uk,105236,3503348
All Saints C of E Primary School,All pupils in face-to-face education,Primary,Voluntary aided school,www.allsaintsnh-pri.manchester.sch.uk,105505,3523301
Abbey Lane Primary School,All pupils in face-to-face education,Primary,Community school,www.abbeylaneprimaryschool.com,106982,3732001
Pippins School,All pupils in face-to-face education,Primary,Foundation school,www.pippins.slough.sch.uk/,110095,8715207
Stanway Fiveways Primary School,All pupils in face-to-face education,Primary,Community school,www.stanwayfiveways.essex.sch.uk,114764,8812081
Baynards Primary School,All pupils in face-to-face education,Primary,Community school,www.baynards.essex.sch.uk,114767,8812088
Great Leighs Primary School,All pupils in face-to-face education,Primary,Community school,www.greatleighs.essex.sch.uk,114852,8812450
Henham and Ugley Primary and Nursery School,All pupils in face-to-face education,Primary,Community school,http://www.henhamugley.essex.sch.uk,114975,8812740
Bentfield Primary School and Nursery,All pupils in face-to-face education,Primary,Community school,www.bentfieldprimaryschool.co.uk,114978,8812747
White Court School,All pupils in face-to-face education,Primary,Community school,http://www.whitecourtschool.co.uk,114988,8812767
Beehive Lane Community Primary School,All pupils in face-to-face education,Primary,Community school,www.beehivelane.essex.sch.uk/,114996,8812789
Eversley Primary School,All pupils in face-to-face education,Primary,Community school,http://www.eversley.essex.sch.uk/,114999,8812798
"Holy Trinity CofE Primary School, Eight Ash Green and Aldham",All pupils in face-to-face education,Primary,Voluntary controlled school,www.holytrinityeightashgreen.co.uk/,115075,8813021
"St Lawrence Church of England Primary School, Rowhedge",All pupils in face-to-face education,Primary,Voluntary controlled school,http://www.st-lawrence-pri.essex.sch.uk/,115077,8813023
Great Tey Church of England Voluntary Controlled Primary School,All pupils in face-to-face education,Primary,Voluntary controlled school,www.greatteyprimary.org.uk/,115079,8813025
Hatfield Peverel St Andrew's Junior School,Start of Term Delayed,Primary,Foundation school,www.hatfieldpeverelstandrews.co.uk,115102,8815279
Broomfield Primary School,All pupils in face-to-face education,Primary,Foundation school,http://www.broomfield.essex.sch.uk,115292,8815252
Mersea Island School,All pupils in face-to-face education,Primary,Foundation school,www.merseaschool.org,115311,8815271
Cranbourne,All pupils in face-to-face education,Secondary,Community school,http://www.cranbourne.hants.sch.uk/,116432,8504164
Markyate Village School and Nursery,All pupils in face-to-face education,Primary,Community school,http://www.markyate.herts.sch.uk/,117127,9192074
